	Fraction	Skewness	Mean	Median	Label
Alx4	1.0	1.606918128588532	0.5190891	0.4290922	['Test', 'Positive']
Prrx2	0.9608457321848082	-0.5953721986837597	1.3426039	1.4024699	['Test']
Prrx1	0.9577133907595928	-0.9544817248692871	1.5292381	1.6134269	['Test']
Msx1	0.9436178543461238	-0.6369939923536498	1.4741561	1.5709214	['Test']
Lhx9	0.8872357086922474	-0.5900190813985011	1.2683498	1.392476	['Test']
Irx3	0.7971808927173062	0.19358085700962682	0.7498737	0.762689	['Positive']
Lhx2	0.7830853563038371	-0.015360872077111589	0.8012614	0.85021895	['Test']
Alx3	0.5849647611589663	0.8987162763873555	0.3829133	0.32273135	['Test', 'Positive']
Msx2	0.5066562255285826	1.1869375458313065	0.32497692	0.22747122	['Test']
Irx5	0.5035238841033672	0.9397453163936584	0.29192486	0.19291113	['Positive']
Hand2	0.32341425215348474	1.8962708033922262	0.16461934	0.0	['Negative']
Hoxd13	0.07517619420516837	4.126899500574871	0.031639874	0.0	['Negative']
Lhx1	0.03523884103367267	6.280633234666093	0.013233091	0.0	['Test']
Dlx2	0.02427564604541895	8.924573378331221	0.01258934	0.0	['Test']
Dlx5	0.017227877838684416	10.23164946534765	0.010014947	0.0	['Test']
Dlx3	0.012529365700861394	11.60991182972094	0.0061381063	0.0	['Test']
Dlx1	0.011746280344557557	13.306808940905597	0.0063612084	0.0	['Test']
Dlx4	0.006264682850430697	14.37716784985494	0.0026389514	0.0	['Test']
Lhx8	0.003915426781519186	20.520301172143128	0.0019043136	0.0	['Test']
Lhx6	0.0031323414252153485	18.047753086973472	0.0009703567	0.0	['Test']
Lhx5	0.0015661707126076742	26.07815655643177	0.0005404988	0.0	['Test']
Lhx3	0.0007830853563038371	35.693148206916796	0.0003096256	0.0	['Test']
Shh	0.0007830853563038371	35.69315383464518	0.00042617583	0.0	['Negative']
Msx3	0.0		0.0	0.0	['Test']
Lhx4	0.0		0.0	0.0	['Test']
